1.353,0.92,-3.88,9.34,-4.13,3.99,7.99,-0.03,-2.76,9.84,1.04,1.93,9.72,-1.43,-1.44,9.8,8.53,1.99,4.5
1.388,0.91,-3.89,9.34,-4.14,3.99,7.99,-0.03,-2.76,9.84,1.05,1.93,9.72,-1.45,-1.44,9.8,8.53,1.98,4.49
1.422,0.92,-3.88,9.34,-4.16,3.99,7.98,-0.05,-2.77,9.84,1.03,1.93,9.73,-1.43,-1.45,9.79,8.53,1.99,4.49
1.456,0.92,-3.88,9.32,-4.15,3.98,7.98,-0.03,-2.75,9.83,1.03,1.93,9.73,-1.44,-1.44,9.79,8.53,1.99,4.49
1.49,0.93,-3.88,9.34,-4.15,3.98,7.99,-0.03,-2.77,9.84,1.04,1.94,9.72,-1.44,-1.44,9.79,8.53,1.99,4.49
1.524,0.92,-3.87,9.34,-4.14,3.99,7.98,-0.04,-2.77,9.83,1.05,1.94,9.72,-1.43,-1.44,9.8,8.53,1.99,4.49
1.558,0.92,-3.89,9.33,-4.16,3.97,7.98,-0.02,-2.77,9.84,1.04,1.94,9.73,-1.44,-1.43,9.8,8.53,1.99,4.49
1.593,0.92,-3.88,9.34,-4.15,3.98,7.99,-0.04,-2.76,9.84,1.03,1.93,9.72,-1.44,-1.43,9.78,8.53,1.98,4.49
1.627,0.92,-3.89,9.34,-4.15,3.98,7.98,-0.03,-2.77,9.84,1.04,1.94,9.73,-1.45,-1.44,9.79,8.53,1.99,4.49
1.661,0.93,-3.89,9.34,-4.15,3.98,7.98,-0.03,-2.76,9.84,1.05,1.94,9.72,-1.43,-1.44,9.79,8.53,1.99,4.49
